text,label
I absolutely loved this product it works great,positive
Terrible experience will never buy again,negative
Best purchase I have made all year,positive
Waste of money do not recommend,negative
Amazing quality and fast shipping,positive
The item broke after one day,negative
Customer service was very helpful and kind,positive
This is the worst product I have ever used,negative
Exceeded my expectations highly recommend,positive
Completely disappointed with the quality,negative
Great value for the price,positive
It stopped working within a week,negative
Superb design and very easy to use,positive
I regret buying this item,negative
Fantastic support team resolved my issue quickly,positive
Poor build quality and cheap materials,negative
Really happy with how this turned out,positive
Not worth the price at all,negative
Five stars would buy again,positive
The packaging was damaged and product was broken,negative
Works perfectly and looks great too,positive
Awful customer service experience,negative
Highly satisfied with my purchase,positive
Would not recommend this to anyone,negative
Love it exceeded all my expectations,positive
This product is a complete scam,negative
Great product does exactly what it says,positive
Very disappointed and frustrated with this purchase,negative
Solid build quality and works as expected,positive
Broke on the first use total waste,negative
